Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
PIN,0.28338599565639055,Pinfish,Demersal,Demersal,1596.6336390116312,1594.9948658398384,5.347007638374442,8537212.263480773,8528449.730813634
PIN,0.4086880114938722,Pinfish,Demersal,Demersal,1597.4370676417243,1596.0906483679883,5.347007638374442,8541508.20250277,8534308.888361648
PIN,0.5893935949514477,Pinfish,Demersal,Demersal,1597.8628344864749,1597.1483697122826,5.347007638374442,8543784.781073818,8539964.532468863
PIN,0.85,Pinfish,Demersal,Demersal,1597.8842231815524,1597.5660289979844,5.347007638374442,8543899.146589773,8542197.759859748
POM,9.999999999999997e-6,Pompano,Demersal,Demersal,255.00127903657537,254.98823312781744,6.372134756073644,1624902.5129921953,1624819.3827035744
POM,1.4421602258335023e-5,Pompano,Demersal,Demersal,255.00161286870645,254.98865987435784,6.372134756073644,1624904.6402155205,1624822.1019900364
POM,2.0798261169761385e-5,Pompano,Demersal,Demersal,255.00232440999682,254.98939844036158,6.372134756073644,1624909.1742525073,1624826.8082321386
POM,2.9994425025527246e-5,Pompano,Demersal,Demersal,255.00314239740592,254.9904957329618,6.372134756073644,1624914.3865785068,1624833.800328454
POM,4.3256766768560436e-5,Pompano,Demersal,Demersal,255.00410031300677,254.99095559624342,6.372134756073644,1624920.4905458004,1624836.730639254
POM,6.238318853177415e-5,Pompano,Demersal,Demersal,255.00506698808385,254.99239031037592,6.372134756073644,1624926.650329657,1624845.8728310426
POM,8.996655326119738e-5,Pompano,Demersal,Demersal,255.00785244457248,254.9943984812177,6.372134756073644,1624944.3996337596,1624858.6691662597
POM,1.2974618476863025e-4,Pompano,Demersal,Demersal,255.0106234415206,254.99724183680738,6.372134756073644,1624962.056799722,1624876.7874112367
POM,1.8711478712696313e-4,Pompano,Demersal,Demersal,255.01474937860706,255.00165043007567,6.372134756073644,1624988.3478268317,1624904.8795616268
POM,2.698495036598089e-4,Pompano,Demersal,Demersal,255.02101936853134,255.0065475087613,6.372134756073644,1625028.3010475484,1624936.0844069228
POM,3.891662211390886e-4,Pompano,Demersal,Demersal,255.0296122464438,255.01459480506887,6.372134756073644,1625083.0560235493,1624987.3628634166
POM,5.612400453647188e-4,Pompano,Demersal,Demersal,255.04192845622254,255.02609246936743,6.372134756073644,1625161.5365719434,1625060.6275297073
POM,8.09398070569988e-4,Pompano,Demersal,Demersal,255.05768140777644,255.04223518844876,6.372134756073644,1625261.9165020508,1625163.491111023
POM,0.001167281704242415,Pompano,Demersal,Demersal,255.08016236788885,255.0638519955629,6.372134756073644,1625405.168209333,1625301.2363189503
POM,0.0016834072462015557,Pompano,Demersal,Demersal,255.1094588601608,255.09244531493175,6.372134756073644,1625591.84940597,1625483.436803092
POM,0.00242774297435179,Pompano,Demersal,Demersal,255.1452877790235,255.12835445602124,6.372134756073644,1625820.1561051277,1625712.254689089
POM,0.0035011943561568766,Pompano,Demersal,Demersal,255.1872691480467,255.17122691705887,6.372134756073644,1626087.667045788,1625985.4437881454
